category,year,annualGrammy,awardType,name,awardFor
Best Classical Performance - Instrumental Soloist Or Soloists (With Orchestra),1966,8,Individual,Beethoven: Piano Concerto No. 4 In G,Beethoven: Piano Concerto No. 4 In G
Best Classical Performance - Instrumental Soloist Or Soloists (Without Orchestra),1966,8,Work,Vladimir Horowitz,Horowitz At Carnegie Hall - An Historic Return
Best Opera Recording,1966,8,Individual,Berg: Wozzeck,Berg: Wozzeck
Best Classical Choral Performance (Other Than Opera),1966,8,Individual,Stravinsky: Symphony Of Psalms/Poulenc: Gloria,Stravinsky: Symphony Of Psalms/Poulenc: Gloria
Best Classical Vocal Soloist Performance,1966,8,Individual,"Strauss: Salome (Dance Of The Seven Veils, Interlude, Final Scene)/The Egyptian Helen (Awakening Scene)","Strauss: Salome (Dance Of The Seven Veils, Interlude, Final Scene)/The Egyptian Helen (Awakening Scene)"
Best Composition By A Contemporary Classical Composer,1966,8,Individual,Ives: Symphony No. 4,Ives: Symphony No. 4
Most Promising New Classical Recording Artist,1966,8,Individual,Bach: Goldberg Variations,Bach: Goldberg Variations
Record Of The Year,1967,9,Work,Frank Sinatra,Strangers In The Night
Album Of The Year,1967,9,Work,Frank Sinatra,A Man And His Music
Song Of The Year,1967,9,Work,John Lennon,Michelle
Best Instrumental Theme,1967,9,Individual,Batman Theme,Batman Theme
"Best Vocal Performance, Female",1967,9,Individual,If He Walked Into My Life,If He Walked Into My Life
"Best Vocal Performance, Male",1967,9,Work,Frank Sinatra,Strangers In The Night
Best Instrumental Performance (Other Than Jazz),1967,9,Individual,What Now My Love,What Now My Love
Best Performance By A Vocal Group,1967,9,Individual,A Man And A Woman,A Man And A Woman
Best Performance By A Chorus,1967,9,Individual,Somewhere My Love (Lara's Theme From Dr. Zhivago),Somewhere My Love (Lara's Theme From Dr. Zhivago)
Best Original Score Written For A Motion Picture Or Television Show,1967,9,Individual,Dr. Zhivago,Dr. Zhivago
Best Score From An Original Cast Show Album,1967,9,Individual,Mame,Mame
Best Comedy Performance,1967,9,Individual,Wonderfulness,Wonderfulness
"Best Spoken Word, Documentary Or Drama Recording",1967,9,Individual,Edward R. Murrow - A Reporter Remembers Vol. I The War Years,Edward R. Murrow - A Reporter Remembers Vol. I The War Years
Best Recording For Children,1967,9,Individual,"Dr. Seuss Presents - ""If I Ran The Zoo"" And ""Sleep Book""","Dr. Seuss Presents - ""If I Ran The Zoo"" And ""Sleep Book"""
Best Album Notes,1967,9,Individual,Sinatra At The Sands,Sinatra At The Sands
Best Instrumental Jazz Performance - Group Or Soloist With Group,1967,9,Individual,Goin' Out Of My Head,Goin' Out Of My Head
Best Original Jazz Composition,1967,9,Work,Duke Ellington,In The Beginning God
Best Contemporary (R&R) Recording,1967,9,Individual,Winchester Cathedral,Winchester Cathedral
Best Contemporary (R&R) Solo Vocal Performance - Male Or Female,1967,9,Individual,Eleanor Rigby,Eleanor Rigby
"Best Contemporary (R&R) Group Performance, Vocal Or Instrumental",1967,9,Individual,"Monday, Monday","Monday, Monday"
Best Rhythm & Blues Recording,1967,9,Individual,Crying Time,Crying Time
"Best Rhythm & Blues Solo Vocal Performance, Male Or Female",1967,9,Individual,Crying Time,Crying Time
"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",1967,9,Individual,Hold It Right There,Hold It Right There
Best Folk Recording,1967,9,Individual,Blues In The Street,Blues In The Street
Best Sacred Recording (Musical),1967,9,Individual,Grand Old Gospel,Grand Old Gospel
Best Country & Western Recording,1967,9,Individual,Almost Persuaded,Almost Persuaded
Best Country & Western Vocal Performance - Female,1967,9,Individual,Don't Touch Me,Don't Touch Me
"Best Country & Western Vocal Performance, Male",1967,9,Individual,Almost Persuaded,Almost Persuaded
Best Country & Western Song,1967,9,Individual,Almost Persuaded,Almost Persuaded
Best Instrumental Arrangement,1967,9,Individual,What Now My Love,What Now My Love
Best Arrangement Accompanying A Vocalist Or Instrumentalist,1967,9,Individual,Strangers In The Night,Strangers In The Night
Best Engineered Recording - Non-Classical,1967,9,Individual,Strangers In The Night,Strangers In The Night
Best Engineered Recording - Classical,1967,9,Individual,Wagner: Lohengrin,Wagner: Lohengrin
"Best Album Cover, Photography",1967,9,Individual,Confessions Of A Broken Man,Confessions Of A Broken Man
"Best Album Cover, Graphic Arts",1967,9,Individual,Revolver,Revolver
Album Of The Year - Classical,1967,9,Individual,Ives: Symphony No. 1 In D Minor,Ives: Symphony No. 1 In D Minor
Best Classical Performance - Orchestra,1967,9,Individual,Mahler: Symphony No. 6 In A Minor,Mahler: Symphony No. 6 In A Minor
Best Chamber Music Performance - Instrumental Or Vocal,1967,9,Individual,"Boston Symphony Chamber Players - Works Of Mozart, Brahms, Beethoven, Fine, Copland, Carter, Piston","Boston Symphony Chamber Players - Works Of Mozart, Brahms, Beethoven, Fine, Copland, Carter, Piston"
Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),1967,9,Individual,"Baroque Guitar (Works Of Bach, Sanz, Weiss, Etc.)","Baroque Guitar (Works Of Bach, Sanz, Weiss, Etc.)"
Best Opera Recording,1967,9,Work,Georg Solti,Wagner: Die Walkure
Best Classical Choral Performance (Other Than Opera),1967,9,Individual,Handel: Messiah,Handel: Messiah
Best Classical Vocal Soloist Performance (With Or Without Orchestra),1967,9,Individual,"Prima Donna (Works Of Barber, Purcell, Etc.)","Prima Donna (Works Of Barber, Purcell, Etc.)"
Record Of The Year,1968,10,Individual,"Up, Up And Away","Up, Up And Away"
Album Of The Year,1968,10,Work,The Beatles,Sgt. Pepper's Lonely Hearts Club Band
Song Of The Year,1968,10,Individual,"Up, Up And Away","Up, Up And Away"
Best Instrumental Theme,1968,10,Individual,Mission: Impossible,Mission: Impossible
"Best Vocal Performance, Female",1968,10,Individual,Ode To Billie Joe,Ode To Billie Joe
"Best Vocal Performance, Male",1968,10,Work,Glen Campbell,By The Time I Get To Phoenix
Best Instrumental Performance,1968,10,Individual,Chet Atkins Picks The Best,Chet Atkins Picks The Best
Best Performance By A Vocal Group,1968,10,Individual,"Up, Up And Away","Up, Up And Away"
Best Performance By A Chorus,1968,10,Individual,"Up, Up And Away","Up, Up And Away"
Best Original Score Written For A Motion Picture Or A Television Show,1968,10,Individual,Mission: Impossible,Mission: Impossible
Best Score From An Original Cast Show Album,1968,10,Individual,Cabaret,Cabaret
Best Comedy Recording,1968,10,Individual,Revenge,Revenge
Best New Artist,1968,10,Individual,Bobbie Gentry,Bobbie Gentry
"Best Instrumental Jazz Performance, Small Group Or Soloist With Small Group",1968,10,Individual,"Mercy, Mercy, Mercy","Mercy, Mercy, Mercy"
"Best Instrumental Jazz Performance, Large Group Or Soloist With Large Group",1968,10,Work,Duke Ellington,Far East Suite
Best Contemporary Single,1968,10,Individual,"Up, Up And Away","Up, Up And Away"
Best Contemporary Album,1968,10,Work,The Beatles,Sgt. Pepper's Lonely Hearts Club Band
Best Contemporary Female Solo Vocal Performance,1968,10,Individual,Ode To Billie Joe,Ode To Billie Joe
Best Contemporary Male Solo Vocal Performance,1968,10,Work,Glen Campbell,By The Time I Get To Phoenix
Best Contemporary Group Performance (Vocal Or Instrumental),1968,10,Individual,"Up, Up And Away","Up, Up And Away"
Best Rhythm & Blues Recording,1968,10,Work,Aretha Franklin,Respect
"Best Rhythm & Blues Solo Vocal Performance, Female",1968,10,Work,Aretha Franklin,Respect
"Best Rhythm & Blues Solo Vocal Performance, Male",1968,10,Individual,Dead End Street,Dead End Street
"Best Rhythm & Blues Group Performance, Vocal Or Instrumental",1968,10,Individual,Soul Man,Soul Man
Best Sacred Performance,1968,10,Individual,How Great Thou Art,How Great Thou Art
Best Gospel Performance,1968,10,Individual,More Grand Old Gospel,More Grand Old Gospel
Best Folk Performance,1968,10,Individual,Gentle On My Mind,Gentle On My Mind
Best Country & Western Recording,1968,10,Work,Glen Campbell,Gentle On My Mind
"Best Country & Western Solo Vocal Performance, Female",1968,10,Individual,I Don't Wanna Play House,I Don't Wanna Play House
"Best Country & Western Solo Vocal Performance, Male",1968,10,Work,Glen Campbell,Gentle On My Mind
"Best Country & Western Performance Duet, Trio Or Group (Vocal Or Instrumental)",1968,10,Individual,Jackson,Jackson
Best Country & Western Song,1968,10,Individual,Gentle On My Mind,Gentle On My Mind
"Best Spoken Word, Documentary Or Drama Recording",1968,10,Individual,Gallant Men,Gallant Men
Best Recording For Children,1968,10,Individual,Dr. Seuss: How The Grinch Stole Christmas,Dr. Seuss: How The Grinch Stole Christmas
Best Instrumental Arrangement,1968,10,Individual,Alfie,Alfie
Best Arrangement Accompanying Vocalist(s) Or Instrumentalist(s),1968,10,Individual,Ode To Billie Joe,Ode To Billie Joe
Best Engineered Recording - Non-Classical,1968,10,Work,The Beatles,Sgt. Pepper's Lonely Hearts Club Band
"Best Engineered Recording, Classical",1968,10,Individual,The Glorious Sound Of Brass,The Glorious Sound Of Brass
"Best Album Cover, Photography",1968,10,Individual,Bob Dylan's Greatest Hits,Bob Dylan's Greatest Hits
"Best Album Cover, Graphic Arts",1968,10,Work,The Beatles,Sgt. Pepper's Lonely Hearts Club Band
Best Album Notes,1968,10,Individual,Suburban Attitudes In Country Verse,Suburban Attitudes In Country Verse
"Album Of The Year, Classical",1968,10,Work,Pierre Boulez,Berg: Wozzeck
Best Classical Performance - Orchestra,1968,10,Individual,Stravinsky: Firebird And Petrouchka Suites,Stravinsky: Firebird And Petrouchka Suites
Best Chamber Music Performance,1968,10,Individual,West Meets East,West Meets East
Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),1968,10,Work,Vladimir Horowitz,"Horowitz In Concert (Haydn, Schumann, Scriabin, Debussy, Mozart, Chopin)"
Best Opera Recording,1968,10,Work,Pierre Boulez,Berg: Wozzeck
Best Classical Choral Performance (Other Than Opera),1968,10,Individual,Mahler: Symphony No. 8 In E Flat Major (Symphony Of A Thousand),Mahler: Symphony No. 8 In E Flat Major (Symphony Of A Thousand)
Best Classical Vocal Soloist Performance,1968,10,Individual,"Prima Donna, Volume 2","Prima Donna, Volume 2"
Record Of The Year,1969,11,Individual,Mrs. Robinson,Mrs. Robinson
Album Of The Year,1969,11,Work,Glen Campbell,By The Time I Get To Phoenix
Song Of The Year,1969,11,Individual,Little Green Apples,Little Green Apples
Best New Artist Of The Year,1969,11,Individual,Jose Feliciano,Jose Feliciano
Best Instrumental Arrangement,1969,11,Individual,Classical Gas,Classical Gas
Best Arrangement Accompanying Vocalist(s),1969,11,Individual,Mac Arthur Park,Mac Arthur Park
Best Engineered Recording (Non-Classical),1969,11,Work,Glen Campbell,Wichita Lineman
Best Album Cover,1969,11,Individual,Underground,Underground
Best Album Notes,1969,11,Individual,Johnny Cash At Folsom Prison,Johnny Cash At Folsom Prison
"Best Contemporary Pop Vocal Performance, Female",1969,11,Individual,Do You Know The Way To San Jose?,Do You Know The Way To San Jose?
"Best Contemporary Pop Vocal Performance, Male",1969,11,Individual,Light My Fire,Light My Fire
Best Contemporary Pop Performance - Vocal Duo Or Group,1969,11,Individual,Mrs. Robinson,Mrs. Robinson
"Best Contemporary Pop Performance, Chorus",1969,11,Individual,Mission Impossible/Norwegian Wood Medley,Mission Impossible/Norwegian Wood Medley
"Best Contemporary Pop Performance, Instrumental",1969,11,Individual,Classical Gas,Classical Gas
"Best Rhythm & Blues Vocal Performance, Female",1969,11,Work,Aretha Franklin,Chain Of Fools
"Best Rhythm & Blues Vocal Performance, Male",1969,11,Individual,(Sittin' On) The Dock Of The Bay,(Sittin' On) The Dock Of The Bay
"Best Rhythm & Blues Performance By A Duo Or Group, Vocal Or Instrumental",1969,11,Individual,Cloud Nine,Cloud Nine
Best Rhythm & Blues Song,1969,11,Individual,(Sittin' On) The Dock Of The Bay,(Sittin' On) The Dock Of The Bay
"Best Country Vocal Performance, Female",1969,11,Individual,Harper Valley P.T.A.,Harper Valley P.T.A.
"Best Country Vocal Performance, Male",1969,11,Individual,Folsom Prison Blues,Folsom Prison Blues
"Best Country Performance, Duo Or Group - Vocal Or Instrumental",1969,11,Individual,Foggy Mountain Breakdown,Foggy Mountain Breakdown
Best Country Song,1969,11,Individual,Little Green Apples,Little Green Apples
Best Sacred Performance,1969,11,Individual,Beautiful Isle Of Somewhere,Beautiful Isle Of Somewhere
Best Gospel Performance,1969,11,Individual,The Happy Gospel Of The Happy Goodmans,The Happy Gospel Of The Happy Goodmans
Best Soul Gospel Performance,1969,11,Individual,The Soul Of Me,The Soul Of Me
Best Folk Performance,1969,11,Individual,Both Sides Now,Both Sides Now
Best Instrumental Theme,1969,11,Individual,Classical Gas,Classical Gas
Best Original Score Written For A Motion Picture Or A Television Special,1969,11,Individual,The Graduate,The Graduate
Best Score From An Original Cast Show Album,1969,11,Individual,Hair,Hair
Best Comedy Recording,1969,11,Individual,"To Russell, My Brother, Whom I Slept With","To Russell, My Brother, Whom I Slept With"
Best Spoken Word Recording,1969,11,Individual,Lonesome Cities,Lonesome Cities
Best Instrumental Jazz Performance - Small Group Or Soloist With Small Group,1969,11,Individual,Bill Evans At The Montreux Jazz Festival,Bill Evans At The Montreux Jazz Festival
Best Instrumental Jazz Performance - Large Group Or Soloist With Large Group,1969,11,Work,Duke Ellington,And His Mother Called Him Bill
Best Classical Performance - Orchestra,1969,11,Work,Pierre Boulez,Boulez Conducts Debussy (La Mer; Prelude A L'Apres-Midi D'Un Faune; Jeux)
Best Chamber Music Performance,1969,11,Individual,"Glory Of Gabrieli Vol. II - Canzonas For Brass, Winds, Strings And Organ","Glory Of Gabrieli Vol. II - Canzonas For Brass, Winds, Strings And Organ"
Best Opera Recording,1969,11,Individual,Mozart: Cosi Fan Tutte,Mozart: Cosi Fan Tutte
Best Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),1969,11,Work,Vladimir Horowitz,"Horowitz On Television (Chopin, Scriabin, Scarlatti, Horowitz)"
Best Choral Performance (Other Than Opera),1969,11,Individual,The Glory Of Gabrieli,The Glory Of Gabrieli
Best Vocal Soloist Performance,1969,11,Individual,Rossini: Rarities,Rossini: Rarities
Best Engineered Recording - Classical,1969,11,Individual,Mahler: Symphony No. 9 In D,Mahler: Symphony No. 9 In D
Record Of The Year,1970,12,Individual,Aquarius/Let The Sunshine In (The Flesh Failures),Aquarius/Let The Sunshine In (The Flesh Failures)
Album Of The Year,1970,12,Individual,"Blood, Sweat And Tears","Blood, Sweat And Tears"
Song Of The Year,1970,12,Individual,Games People Play,Games People Play
Best New Artist Of The Year,1970,12,Individual,"Crosby, Stills And Nash","Crosby, Stills And Nash"
Best Instrumental Arrangement,1970,12,Work,Henry Mancini,Love Theme From Romeo And Juliet
Best Arrangement Accompanying Vocalist(s),1970,12,Individual,Spinning Wheel,Spinning Wheel
Best Engineered Recording - Non-Classical,1970,12,Individual,Abbey Road,Abbey Road
Best Album Cover,1970,12,Individual,America The Beautiful,America The Beautiful
Best Album Notes,1970,12,Individual,Nashville Skyline,Nashville Skyline
"Best Contemporary Vocal Performance, Female",1970,12,Individual,Is That All There Is?,Is That All There Is?
"Best Contemporary Vocal Performance, Male",1970,12,Individual,Everybody's Talkin',Everybody's Talkin'
Best Contemporary Vocal Performance By A Group,1970,12,Individual,Aquarius/Let The Sunshine In (The Flesh Failures),Aquarius/Let The Sunshine In (The Flesh Failures)
Best Contemporary Performance By A Chorus,1970,12,Individual,Love Theme From Romeo And Juliet,Love Theme From Romeo And Juliet
Best Contemporary Instrumental Performance,1970,12,Individual,Variations On A Theme By Eric Satie,Variations On A Theme By Eric Satie
